ed  Description  ,Year 11 2031  ,Year 12 2032  ,Year 13 2033  ,Year 14 2034  ,Year 15 2035  ,Year 16 2036  ,Year 17 2037  ,Year 18 2038  ,Year 19 2039  ,Year 20 2040  
,,,,,,,,,,
Elevators  
Elevator Cab Refurbishment Allowance-Bldg 1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Elevator Cab Refurbishment Allowance-Bldg 2  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Elevator Door Operator Equipment-Bldg 1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Elevator Door Operator Equipment-Bldg 2  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Elevator Capital Repair/Deferred Maint Allowance  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Elevator Modernization Allowance, 9 Stop/2500#-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Elevator Modernization Allowance, 9 Stop/2500#-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Elevators Total  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
,,,,,,,,,,
Mechanical & Electrical  
"A/C Split System,  2.5 Ton-Fitness Center  ",0  ,0  ,0  ,0  ,0  ,"7,315  ",0  ,0  ,0  ,0  
"A/C Split System,  3.5 Ton-Bldg 1 Lobby/Office  ",0  ,0  ,0  ,"8,714  ",0  ,0  ,0  ,0  ,0  ,0  
"A/C Split System, Mini-Bldg 2 Elevator Equipment Rm  ",0  ,0  ,"5,900  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"A/C Split System, Mini-Bldg 2 Lobby  ",0  ,0  ,"5,900  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"A/C Wall Unit, 1 Ton-Bldg 1 Elevator Machine Rm  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"4,218  ",0  ,0  
Domestic Water Pump System Control Panel-Bldg 1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"21,770  "
Domestic Water Pump System Control Panel-Bldg 2  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"21,770  "
"Domestic Water Pump/Motor,  5 Hp-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,0  ,"4,225  ",0  ,0  ,0  
"Domestic Water Pump/Motor,  5 Hp-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,0  ,"4,225  ",0  ,0  ,0  
"Domestic Water Pump/Motor,  5 Hp-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,0  ,"4,225  ",0  ,0  ,0  
"Domestic Water Pump/Motor,  5 Hp-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,0  ,"4,225  ",0  ,0  ,0  
Electrical Capital Repair/Replacement Allowance  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Fire Alarm System-Bldg 1  ,0  ,0  ,0  ,0  ,"82,860  ",0  ,0  ,0  ,0  ,0  
Fire Alarm System-Bldg 2  ,0  ,0  ,0  ,0  ,"41,430  ",0  ,0  ,0  ,0  ,0  
Fire Jockey Pump-Bldg 1  ,0  ,0  ,0  ,0  ,0  ,"5,900  ",0  ,0  ,0  ,0  
Fire Jockey Pump-Bldg 2  ,0  ,0  ,0  ,"5,561  ",0  ,0  ,0  ,0  ,0  ,0  
"Fire Pump, 50 Hp Electric-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Fire Pump, 60 Hp Electric-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Fire Sprinkler Lines-Bldg 1 Garage  ,0  ,"51,190  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Fire Sprinkler Lines-Bldg 2 Garage  ,0  ,"28,947  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Generator, Diesel, 100 KW-Bldg 2 Garage  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Generator, Diesel, 250 KW w/ATS-Bldg 1 Garage  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Lighting-Common Walkways (Mat $ only)  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"11,217  "
