Pooled Cash Flow Plan  
Description  ,Year 11 2031  ,Year 12 2032  ,Year 13 2033  ,Year 14 2034  ,Year 15 2035  ,Year 16 2036  ,Year 17 2037  ,Year 18 2038  ,Year 19 2039  ,Year 20 2040  
,,,,,,,,,,
Mechanical & Electrical (Continued)  
Lighting-Balconies (Mat $ only)  ,0  ,0  ,"4,591  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
Lighting-Stairwells (Mat $ only)  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Plumbing Repiping Allowance  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Mechanical & Electrical Total  ,0  ,"80,137  ","16,391  ","14,275  ","124,290  ","13,215  ","16,900  ","4,218  ",0  ,"54,757  "
,,,,,,,,,,
Misc Building Components  
"Access Control, Enterphone Panel-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"7,441  ",0  ,0  
"Access Control, Enterphone Panel-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"7,441  ",0  ,0  
"Access Control, FOB Reader-Bldg 1  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"4,248  ",0  ,0  
"Access Control, FOB Reader-Bldg 2  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,"4,248  ",0  ,0  
Door Allowance-Bldg's 1 & 2 Service/Support Areas  ,"10,214  ",0  ,0  ,0  ,0  ,"11,841  ",0  ,0  ,0  ,0  
Doors-Bldg's 1 & 2 Lobby Entrance  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"32,538  "
"Finish, Concrete Deck Coating-Bldg 1 Balconies  ",0  ,0  ,0  ,0  ,"96,564  ",0  ,0  ,0  ,0  ,0  
"Finish, Concrete Deck Coating-Bldg 1 Corridors 2-8  ",0  ,0  ,"24,790  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Concrete Deck Coating-Bldg 2 Balconies  ",0  ,0  ,0  ,0  ,"55,530  ",0  ,0  ,0  ,0  ,0  
"Finish, Concrete Deck Coating-Bldg 2 Corridors 2-8  ",0  ,0  ,"14,466  ",0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Pavers-Bldg's 1 & 2 Main Entry & Porch Area  ",0  ,0  ,0  ,0  ,0  ,0  ,"37,682  ",0  ,0  ,0  
"Finish, Tile Floor-Bldg 1 Lobby & Corridor 1st Floor  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Tile Floor-Bldg 1 Office  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Tile Floor-Bldg 2 Lobby & Corridor 1st Floor  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Finish, Vinyl Comp Tile Floor-Fitness Center  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 1 Balconies  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 1 Corridors  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 1 Front Patio & Stairs  ",0  ,0  ,0  ,0  ,"17,551  ",0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 2 Balconies  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 2 Corridors  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Bldg 2 Front Stairs  ",0  ,0  ,0  ,0  ,"10,007  ",0  ,0  ,0  ,0  ,0  
"Railing, Alum Picket, 42""-Sun Deck (prorate $/35rl)  ",0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Renovation Allowance-Fitness Center  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Waterproof Primer/Base Coating-Sun Deck  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"184,150  "
Waterproof Top Coating-Sun Deck  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,"126,645  "
Window Replacement  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Window Replacement (2012/2013/2015)  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  
Misc Building Components Total  ,"10,214  ",0  ,"39,256  ",0  ,"179,652  ","11,841  ","37,682  ","23,378  ",0  ,"343,333  "
